"Step","phase1_top3 - validation_step_timing in s","phase1_top3 - validation_step_timing in s__MIN","phase1_top3 - validation_step_timing in s__MAX"
"1382","0.0333707332611084","0.0333707332611084","0.0333707332611084"
"1412","0.05859518051147461","0.05859518051147461","0.05859518051147461"
"1417","0.05433821678161621","0.05433821678161621","0.05433821678161621"
"1433","0.050968170166015625","0.050968170166015625","0.050968170166015625"
"1437","0.048859357833862305","0.048859357833862305","0.048859357833862305"
"1455","0.05903959274291992","0.05903959274291992","0.05903959274291992"
"1456","0.05723834037780762","0.05723834037780762","0.05723834037780762"
"1457","0.0555727481842041","0.0555727481842041","0.0555727481842041"
"1473","0.05128788948059082","0.05128788948059082","0.05128788948059082"
"1474","0.03191566467285156","0.03191566467285156","0.03191566467285156"
"1479","0.0310208797454834","0.0310208797454834","0.0310208797454834"
"1481","0.03594613075256348","0.03594613075256348","0.03594613075256348"
"1495","0.06332874298095703","0.06332874298095703","0.06332874298095703"
"1496","0.06061291694641113","0.06061291694641113","0.06061291694641113"
"1510","0.05605506896972656","0.05605506896972656","0.05605506896972656"
"1516","0.0602114200592041","0.0602114200592041","0.0602114200592041"
"1520","0.05823993682861328","0.05823993682861328","0.05823993682861328"
"1540","0.058103084564208984","0.058103084564208984","0.058103084564208984"
"1549","0.05908036231994629","0.05908036231994629","0.05908036231994629"
"1560","0.05600428581237793","0.05600428581237793","0.05600428581237793"
"1583","0.04890847206115723","0.04890847206115723","0.04890847206115723"
"1585","0.036496877670288086","0.036496877670288086","0.036496877670288086"
"1598","0.032317161560058594","0.032317161560058594","0.032317161560058594"
"1607","0.05322742462158203","0.05322742462158203","0.05322742462158203"
"1609","0.05511784553527832","0.05511784553527832","0.05511784553527832"
"1622","0.05190634727478027","0.05190634727478027","0.05190634727478027"
"1659","0.05823516845703125","0.05823516845703125","0.05823516845703125"
"1674","0.055402278900146484","0.055402278900146484","0.055402278900146484"
"1695","0.031220197677612305","0.031220197677612305","0.031220197677612305"
"1711","0.05398058891296387","0.05398058891296387","0.05398058891296387"
"1718","0.04806971549987793","0.04806971549987793","0.04806971549987793"
"1725","0.05684161186218262","0.05684161186218262","0.05684161186218262"
"1727","0.05720210075378418","0.05720210075378418","0.05720210075378418"
"1741","0.03527951240539551","0.03527951240539551","0.03527951240539551"
"1750","0.03435206413269043","0.03435206413269043","0.03435206413269043"
"1769","0.05053257942199707","0.05053257942199707","0.05053257942199707"
"1782","0.029765605926513672","0.029765605926513672","0.029765605926513672"
"1791","0.03159642219543457","0.03159642219543457","0.03159642219543457"
"1801","0.03209519386291504","0.03209519386291504","0.03209519386291504"
"1805","0.03278756141662598","0.03278756141662598","0.03278756141662598"
"1809","0.0582880973815918","0.0582880973815918","0.0582880973815918"
"1812","0.05030322074890137","0.05030322074890137","0.05030322074890137"
"1819","0.05665230751037598","0.05665230751037598","0.05665230751037598"
"1823","0.0586395263671875","0.0586395263671875","0.0586395263671875"
"1830","0.0497891902923584","0.0497891902923584","0.0497891902923584"
"1831","0.04986763000488281","0.04986763000488281","0.04986763000488281"
"1837","0.055322885513305664","0.055322885513305664","0.055322885513305664"
"1839","0.03455948829650879","0.03455948829650879","0.03455948829650879"
"1841","0.050959110260009766","0.050959110260009766","0.050959110260009766"
"1842","0.05850696563720703","0.05850696563720703","0.05850696563720703"
"1845","0.031199216842651367","0.031199216842651367","0.031199216842651367"
"1852","0.037691593170166016","0.037691593170166016","0.037691593170166016"
"1855","0.0400850772857666","0.0400850772857666","0.0400850772857666"
"1868","0.032431840896606445","0.032431840896606445","0.032431840896606445"
"1887","0.030292987823486328","0.030292987823486328","0.030292987823486328"
"1902","0.05814170837402344","0.05814170837402344","0.05814170837402344"
"1906","0.05421161651611328","0.05421161651611328","0.05421161651611328"
"1942","0.03342175483703613","0.03342175483703613","0.03342175483703613"
"1953","0.049301862716674805","0.049301862716674805","0.049301862716674805"
"1960","0.03745722770690918","0.03745722770690918","0.03745722770690918"
"1965","0.031768798828125","0.031768798828125","0.031768798828125"
"1968","0.0487055778503418","0.0487055778503418","0.0487055778503418"
"1994","0.05532383918762207","0.05532383918762207","0.05532383918762207"
"2000","0.03804206848144531","0.03804206848144531","0.03804206848144531"
"2023","0.057733774185180664","0.057733774185180664","0.057733774185180664"
"2025","0.03821158409118652","0.03821158409118652","0.03821158409118652"
"2037","0.03681612014770508","0.03681612014770508","0.03681612014770508"
"2043","0.03725242614746094","0.03725242614746094","0.03725242614746094"
"2048","0.030939817428588867","0.030939817428588867","0.030939817428588867"
"2058","0.02957773208618164","0.02957773208618164","0.02957773208618164"
"2076","0.049848318099975586","0.049848318099975586","0.049848318099975586"
"2077","0.05499005317687988","0.05499005317687988","0.05499005317687988"
"2099","0.03234696388244629","0.03234696388244629","0.03234696388244629"
"2107","0.032361507415771484","0.032361507415771484","0.032361507415771484"
"2114","0.03812885284423828","0.03812885284423828","0.03812885284423828"
"2119","0.03437352180480957","0.03437352180480957","0.03437352180480957"
"2144","0.035761356353759766","0.035761356353759766","0.035761356353759766"
"2150","0.030578136444091797","0.030578136444091797","0.030578136444091797"
"2152","0.030349016189575195","0.030349016189575195","0.030349016189575195"
"2161","0.059274911880493164","0.059274911880493164","0.059274911880493164"
"2173","0.05835318565368652","0.05835318565368652","0.05835318565368652"
"2180","0.049636125564575195","0.049636125564575195","0.049636125564575195"
"2193","0.05957746505737305","0.05957746505737305","0.05957746505737305"
"2196","0.055239200592041016","0.055239200592041016","0.055239200592041016"
"2198","0.05414223670959473","0.05414223670959473","0.05414223670959473"
