"Relative Time (Process)","phase2_upper_half - system/gpu.0.powerPercent","phase2_upper_half - system/gpu.0.powerPercent__MIN","phase2_upper_half - system/gpu.0.powerPercent__MAX","phase1_top3 - system/gpu.0.powerPercent","phase1_top3 - system/gpu.0.powerPercent__MIN","phase1_top3 - system/gpu.0.powerPercent__MAX"
"15.395807511","","","","13.513684210526316","13.513684210526316","13.513684210526316"
"15.472764031","","","","13.63859649122807","13.63859649122807","13.63859649122807"
"15.536025081","","","","13.31438596491228","13.31438596491228","13.31438596491228"
"15.53884216","","","","13.464210526315789","13.464210526315789","13.464210526315789"
"15.55552068","","","","13.749824561403509","13.749824561403509","13.749824561403509"
"15.603765446","","","","13.427017543859652","13.427017543859652","13.427017543859652"
"15.664223071","13.3","13.3","13.3","","",""
"15.673335058","","","","4.14140350877193","4.14140350877193","4.14140350877193"
"15.931510822","","","","62.17859649122806","62.17859649122806","62.17859649122806"
"16.140695464","","","","13.417894736842106","13.417894736842106","13.417894736842106"
"30.397963575","","","","3.552280701754386","3.552280701754386","3.552280701754386"
"30.473307519","","","","3.550877192982456","3.550877192982456","3.550877192982456"
"30.537640529","","","","3.4049122807017542","3.4049122807017542","3.4049122807017542"
"30.539779901","","","","3.9","3.9","3.9"
"30.557292054","","","","3.835438596491228","3.835438596491228","3.835438596491228"
"30.605189853","","","","3.546315789473684","3.546315789473684","3.546315789473684"
"30.667200349","3.3873684210526314","3.3873684210526314","3.3873684210526314","","",""
"30.674007179","","","","3.433684210526316","3.433684210526316","3.433684210526316"
"30.931263295","","","","57.8859649122807","57.8859649122807","57.8859649122807"
"31.142785358","","","","3.5431578947368427","3.5431578947368427","3.5431578947368427"
"45.39826631","","","","3.4614035087719297","3.4614035087719297","3.4614035087719297"
"45.473636232","","","","3.5740350877192983","3.5740350877192983","3.5740350877192983"
"45.537277678","","","","3.517543859649123","3.517543859649123","3.517543859649123"
"45.540204753","","","","3.674736842105263","3.674736842105263","3.674736842105263"
"45.558199601","","","","3.8157894736842106","3.8157894736842106","3.8157894736842106"
"45.605795279","","","","3.639298245614035","3.639298245614035","3.639298245614035"
"45.666530683","3.369473684210526","3.369473684210526","3.369473684210526","","",""
"45.673080995","","","","3.393333333333333","3.393333333333333","3.393333333333333"
"45.931674802","","","","52.761403508771934","52.761403508771934","52.761403508771934"
"46.142130196","","","","4.024912280701754","4.024912280701754","4.024912280701754"
"60.398641748","","","","3.4870175438596496","3.4870175438596496","3.4870175438596496"
"60.472417163","","","","3.4894736842105263","3.4894736842105263","3.4894736842105263"
"60.537627299","","","","3.5519298245614035","3.5519298245614035","3.5519298245614035"
"60.539195988","","","","3.715438596491228","3.715438596491228","3.715438596491228"
"60.605566748","","","","3.8470175438596494","3.8470175438596494","3.8470175438596494"
"60.666813437","3.2964912280701753","3.2964912280701753","3.2964912280701753","","",""
"60.673604506","","","","3.5284210526315785","3.5284210526315785","3.5284210526315785"
"60.9319205","","","","48.495438596491226","48.495438596491226","48.495438596491226"
"61.141604315","","","","3.376140350877193","3.376140350877193","3.376140350877193"
"75.399776485","","","","3.497894736842105","3.497894736842105","3.497894736842105"
"75.474935216","","","","3.463508771929825","3.463508771929825","3.463508771929825"
"75.537113157","","","","3.5157894736842104","3.5157894736842104","3.5157894736842104"
"75.539388205","","","","3.7021052631578946","3.7021052631578946","3.7021052631578946"
"75.606348649","","","","4.141754385964912","4.141754385964912","4.141754385964912"
"75.66720152","3.33719298245614","3.33719298245614","3.33719298245614","","",""
"75.673012128","","","","3.497894736842105","3.497894736842105","3.497894736842105"
"75.931975878","","","","47.987368421052636","47.987368421052636","47.987368421052636"
"90.398540112","","","","3.877192982456141","3.877192982456141","3.877192982456141"
"90.538567636","","","","3.4715789473684215","3.4715789473684215","3.4715789473684215"
"90.540627807","","","","3.7115789473684204","3.7115789473684204","3.7115789473684204"
"90.666500155","3.322105263157895","3.322105263157895","3.322105263157895","","",""
"90.6726414","","","","3.3873684210526314","3.3873684210526314","3.3873684210526314"
"90.931758494","","","","50.98070175438596","50.98070175438596","50.98070175438596"
"105.538810921","","","","3.8473684210526313","3.8473684210526313","3.8473684210526313"
"105.667177003","3.333684210526316","3.333684210526316","3.333684210526316","","",""
"105.673155953","","","","3.453333333333333","3.453333333333333","3.453333333333333"
"105.932182081","","","","49.99368421052632","49.99368421052632","49.99368421052632"
"120.540416303","","","","3.4898245614035086","3.4898245614035086","3.4898245614035086"
"120.666576137","3.296140350877193","3.296140350877193","3.296140350877193","","",""
"120.673086807","","","","3.3936842105263163","3.3936842105263163","3.3936842105263163"
"120.93166741900001","","","","48.66070175438596","48.66070175438596","48.66070175438596"
"135.539971153","","","","3.453684210526316","3.453684210526316","3.453684210526316"
"135.668615389","3.2821052631578946","3.2821052631578946","3.2821052631578946","","",""
"135.672905466","","","","3.4922807017543853","3.4922807017543853","3.4922807017543853"
"135.932165552","","","","50.05157894736841","50.05157894736841","50.05157894736841"
"150.539604989","","","","3.5694736842105264","3.5694736842105264","3.5694736842105264"
"150.667068497","3.283859649122807","3.283859649122807","3.283859649122807","","",""
"150.673653771","","","","3.5449122807017543","3.5449122807017543","3.5449122807017543"
"150.931402309","","","","50.175438596491226","50.175438596491226","50.175438596491226"
"165.539594428","","","","3.38","3.38","3.38"
"165.666381942","3.3610526315789473","3.3610526315789473","3.3610526315789473","","",""
"165.931535406","","","","50.41614035087719","50.41614035087719","50.41614035087719"
"180.540235435","","","","3.427017543859649","3.427017543859649","3.427017543859649"
"180.66650134100001","3.340701754385965","3.340701754385965","3.340701754385965","","",""
"180.931258321","","","","46.883859649122805","46.883859649122805","46.883859649122805"
"195.667451386","3.378245614035088","3.378245614035088","3.378245614035088","","",""
"195.932378104","","","","50.878947368421045","50.878947368421045","50.878947368421045"
"210.667608751","3.337543859649123","3.337543859649123","3.337543859649123","","",""
"210.931262091","","","","63.19228070175439","63.19228070175439","63.19228070175439"
"225.666543395","3.3617543859649124","3.3617543859649124","3.3617543859649124","","",""
"225.931843262","","","","63.82666666666667","63.82666666666667","63.82666666666667"
"240.667581183","3.2835087719298244","3.2835087719298244","3.2835087719298244","","",""
"240.931261491","","","","54.4940350877193","54.4940350877193","54.4940350877193"
"255.667623429","3.270526315789474","3.270526315789474","3.270526315789474","","",""
"255.931734255","","","","46.061052631578946","46.061052631578946","46.061052631578946"
"270.666822675","3.2999999999999994","3.2999999999999994","3.2999999999999994","","",""
"270.931780888","","","","46.4540350877193","46.4540350877193","46.4540350877193"
"285.666966878","3.3905263157894736","3.3905263157894736","3.3905263157894736","","",""
"285.932446694","","","","50.56385964912281","50.56385964912281","50.56385964912281"
"300.667344994","3.2943859649122804","3.2943859649122804","3.2943859649122804","","",""
"300.931922632","","","","44.66456140350877","44.66456140350877","44.66456140350877"
"315.666696236","3.295438596491228","3.295438596491228","3.295438596491228","","",""
"315.931653277","","","","48.78561403508772","48.78561403508772","48.78561403508772"
"330.666434946","3.391578947368421","3.391578947368421","3.391578947368421","","",""
"330.931984075","","","","51.58526315789474","51.58526315789474","51.58526315789474"
"345.667006484","3.4042105263157896","3.4042105263157896","3.4042105263157896","","",""
"345.931717615","","","","50.50701754385965","50.50701754385965","50.50701754385965"
"360.667274855","3.3771929824561404","3.3771929824561404","3.3771929824561404","","",""
"360.931908497","","","","50.62035087719299","50.62035087719299","50.62035087719299"
"375.666647245","3.334736842105263","3.334736842105263","3.334736842105263","","",""
"375.930972767","","","","51.4719298245614","51.4719298245614","51.4719298245614"
"390.667071398","3.3392982456140348","3.3392982456140348","3.3392982456140348","","",""
"390.932147024","","","","50.784210526315796","50.784210526315796","50.784210526315796"
"405.667497647","3.3350877192982455","3.3350877192982455","3.3350877192982455","","",""
"405.931167175","","","","17.4459649122807","17.4459649122807","17.4459649122807"
"420.667790789","3.2975438596491227","3.2975438596491227","3.2975438596491227","","",""
"420.932296126","","","","52.97508771929825","52.97508771929825","52.97508771929825"
"435.667281691","3.3329824561403507","3.3329824561403507","3.3329824561403507","","",""
"435.931244938","","","","63.359298245614035","63.359298245614035","63.359298245614035"
"450.667129904","3.3466666666666667","3.3466666666666667","3.3466666666666667","","",""
"450.932124857","","","","50.183508771929816","50.183508771929816","50.183508771929816"
"465.667234608","3.2901754385964916","3.2901754385964916","3.2901754385964916","","",""
"465.931611175","","","","50.817894736842106","50.817894736842106","50.817894736842106"
"480.667089248","3.2999999999999994","3.2999999999999994","3.2999999999999994","","",""
"480.931235563","","","","50.13508771929824","50.13508771929824","50.13508771929824"
"495.665881955","3.3203508771929817","3.3203508771929817","3.3203508771929817","","",""
"495.932599777","","","","54.407017543859645","54.407017543859645","54.407017543859645"
"510.667485733","3.3501754385964913","3.3501754385964913","3.3501754385964913","","",""
"510.93190669","","","","52.0438596491228","52.0438596491228","52.0438596491228"
"525.667159959","3.318245614035088","3.318245614035088","3.318245614035088","","",""
"525.93148871","","","","45.574035087719295","45.574035087719295","45.574035087719295"
"540.667317252","3.243508771929825","3.243508771929825","3.243508771929825","","",""
"540.932087834","","","","48.02771929824561","48.02771929824561","48.02771929824561"
"555.667152476","3.3073684210526317","3.3073684210526317","3.3073684210526317","","",""
"555.932299411","","","","49.00245614035088","49.00245614035088","49.00245614035088"
"570.667638888","3.269473684210526","3.269473684210526","3.269473684210526","","",""
"570.932089714","","","","52.97929824561404","52.97929824561404","52.97929824561404"
"585.66688136","3.297894736842105","3.297894736842105","3.297894736842105","","",""
"585.932010525","","","","46.79824561403509","46.79824561403509","46.79824561403509"
"600.667482939","3.303157894736842","3.303157894736842","3.303157894736842","","",""
"600.932388774","","","","50.32245614035088","50.32245614035088","50.32245614035088"
"615.666584168","3.308421052631579","3.308421052631579","3.308421052631579","","",""
"615.933107369","","","","63.999298245614035","63.999298245614035","63.999298245614035"
"630.666520296","3.3235087719298244","3.3235087719298244","3.3235087719298244","","",""
"630.932322294","","","","65.82421052631578","65.82421052631578","65.82421052631578"
"645.665797096","3.383157894736842","3.383157894736842","3.383157894736842","","",""
"645.931432912","","","","51.84210526315789","51.84210526315789","51.84210526315789"
"660.66562112","3.4049122807017542","3.4049122807017542","3.4049122807017542","","",""
"660.932797816","","","","47.193333333333335","47.193333333333335","47.193333333333335"
"675.667186016","3.443859649122807","3.443859649122807","3.443859649122807","","",""
"675.931303043","","","","50.62947368421054","50.62947368421054","50.62947368421054"
"690.667111867","3.379649122807017","3.379649122807017","3.379649122807017","","",""
"690.932168091","","","","53.88736842105264","53.88736842105264","53.88736842105264"
"705.666227515","3.3712280701754387","3.3712280701754387","3.3712280701754387","","",""
"705.931881293","","","","40.467017543859654","40.467017543859654","40.467017543859654"
"720.666225199","3.3600000000000003","3.3600000000000003","3.3600000000000003","","",""
"720.931863576","","","","48.79964912280702","48.79964912280702","48.79964912280702"
"735.666722481","3.3554385964912283","3.3554385964912283","3.3554385964912283","","",""
"735.931723215","","","","49.01157894736842","49.01157894736842","49.01157894736842"
"750.667191081","3.36280701754386","3.36280701754386","3.36280701754386","","",""
"750.931680004","","","","47.96315789473684","47.96315789473684","47.96315789473684"
"765.667197975","3.3501754385964913","3.3501754385964913","3.3501754385964913","","",""
"765.931745152","","","","54.71964912280701","54.71964912280701","54.71964912280701"
"780.667293473","3.337543859649123","3.337543859649123","3.337543859649123","","",""
"780.931532461","","","","48.64280701754386","48.64280701754386","48.64280701754386"
"795.667527268","3.373333333333334","3.373333333333334","3.373333333333334","","",""
"795.931560628","","","","49.715438596491225","49.715438596491225","49.715438596491225"
"810.665421694","3.3814035087719305","3.3814035087719305","3.3814035087719305","","",""
"810.931455521","","","","64.36210526315789","64.36210526315789","64.36210526315789"
"825.666369216","3.5003508771929828","3.5003508771929828","3.5003508771929828","","",""
"825.931789853","","","","58.19473684210526","58.19473684210526","58.19473684210526"
"840.6669102","3.398947368421052","3.398947368421052","3.398947368421052","","",""
"840.931188057","","","","52.64947368421053","52.64947368421053","52.64947368421053"
"855.667777094","3.3803508771929827","3.3803508771929827","3.3803508771929827","","",""
"855.931350183","","","","53.817894736842106","53.817894736842106","53.817894736842106"
"870.666664396","3.3438596491228068","3.3438596491228068","3.3438596491228068","","",""
"870.931953717","","","","51.49894736842104","51.49894736842104","51.49894736842104"
"885.667032593","3.3487719298245615","3.3487719298245615","3.3487719298245615","","",""
"885.931880696","","","","53.00491228070175","53.00491228070175","53.00491228070175"
"900.666848399","3.3547368421052632","3.3547368421052632","3.3547368421052632","","",""
"900.931493352","","","","49.82561403508771","49.82561403508771","49.82561403508771"
"915.66648174","3.376842105263158","3.376842105263158","3.376842105263158","","",""
"915.931610099","","","","46.62631578947368","46.62631578947368","46.62631578947368"
"930.667253514","3.3480701754385964","3.3480701754385964","3.3480701754385964","","",""
"930.931060058","","","","47.781754385964916","47.781754385964916","47.781754385964916"
"945.667091203","3.3715789473684215","3.3715789473684215","3.3715789473684215","","",""
"945.932317999","","","","47.91122807017544","47.91122807017544","47.91122807017544"
"960.66690298","3.353333333333333","3.353333333333333","3.353333333333333","","",""
"960.931533773","","","","49.85719298245614","49.85719298245614","49.85719298245614"
"975.665967275","3.356842105263158","3.356842105263158","3.356842105263158","","",""
"975.931110342","","","","51.477192982456145","51.477192982456145","51.477192982456145"
"990.667147225","3.3992982456140353","3.3992982456140353","3.3992982456140353","","",""
"990.931922047","","","","48.251578947368415","48.251578947368415","48.251578947368415"
"1005.665998284","3.458947368421053","3.458947368421053","3.458947368421053","","",""
"1005.932451246","","","","64.50982456140352","64.50982456140352","64.50982456140352"
"1020.666691819","3.3571929824561404","3.3571929824561404","3.3571929824561404","","",""
"1020.932320445","","","","64.45017543859649","64.45017543859649","64.45017543859649"
"1035.666315567","3.3438596491228068","3.3438596491228068","3.3438596491228068","","",""
"1035.931826521","","","","53.988771929824566","53.988771929824566","53.988771929824566"
"1050.66729255","3.360350877192982","3.360350877192982","3.360350877192982","","",""
"1050.931038286","","","","45.793684210526315","45.793684210526315","45.793684210526315"
"1065.666648517","3.3501754385964913","3.3501754385964913","3.3501754385964913","","",""
"1065.931967238","","","","52.61438596491228","52.61438596491228","52.61438596491228"
"1080.667764395","3.356842105263158","3.356842105263158","3.356842105263158","","",""
"1080.931839267","","","","47.62842105263159","47.62842105263159","47.62842105263159"
"1095.666113562","3.369122807017544","3.369122807017544","3.369122807017544","","",""
"1095.931642688","","","","54.09122807017543","54.09122807017543","54.09122807017543"
"1110.667282445","3.347719298245614","3.347719298245614","3.347719298245614","","",""
"1110.931667788","","","","48.021052631578954","48.021052631578954","48.021052631578954"
"1125.667405111","3.3480701754385964","3.3480701754385964","3.3480701754385964","","",""
"1125.931702361","","","","49.92456140350877","49.92456140350877","49.92456140350877"
"1140.666026362","3.376140350877193","3.376140350877193","3.376140350877193","","",""
"1140.931633676","","","","47.18982456140351","47.18982456140351","47.18982456140351"
"1155.667187312","3.403859649122807","3.403859649122807","3.403859649122807","","",""
"1155.932037949","","","","53.98","53.98","53.98"
"1170.667225484","3.4452631578947375","3.4452631578947375","3.4452631578947375","","",""
"1170.932010387","","","","51.0701754385965","51.0701754385965","51.0701754385965"
"1185.665755261","3.350526315789473","3.350526315789473","3.350526315789473","","",""
"1185.9317887","","","","52.17649122807018","52.17649122807018","52.17649122807018"
"1200.666696471","3.366666666666667","3.366666666666667","3.366666666666667","","",""
"1200.931569028","","","","64.29508771929825","64.29508771929825","64.29508771929825"
"1215.666520361","3.3614035087719296","3.3614035087719296","3.3614035087719296","","",""
"1215.931543553","","","","65.49508771929825","65.49508771929825","65.49508771929825"
"1230.667375359","3.337543859649123","3.337543859649123","3.337543859649123","","",""
"1230.931732019","","","","52.25087719298245","52.25087719298245","52.25087719298245"
"1245.667171732","3.339649122807018","3.339649122807018","3.339649122807018","","",""
"1245.931456536","","","","46.177894736842106","46.177894736842106","46.177894736842106"
"1260.666402562","3.3775438596491227","3.3775438596491227","3.3775438596491227","","",""
"1260.931303064","","","","51.695087719298236","51.695087719298236","51.695087719298236"
"1275.667346169","3.3319298245614033","3.3319298245614033","3.3319298245614033","","",""
"1275.931843835","","","","53.4119298245614","53.4119298245614","53.4119298245614"
"1290.6666186","3.357543859649123","3.357543859649123","3.357543859649123","","",""
"1290.931342458","","","","52.328771929824555","52.328771929824555","52.328771929824555"
"1305.66721226","3.373333333333334","3.373333333333334","3.373333333333334","","",""
"1305.93201707","","","","49.05543859649122","49.05543859649122","49.05543859649122"
"1320.66549648","3.4214035087719292","3.4214035087719292","3.4214035087719292","","",""
"1320.931718695","","","","49.07368421052632","49.07368421052632","49.07368421052632"
"1335.666690484","3.4526315789473685","3.4526315789473685","3.4526315789473685","","",""
"1335.931848477","","","","47.97859649122807","47.97859649122807","47.97859649122807"
"1350.666628348","3.313684210526316","3.313684210526316","3.313684210526316","","",""
"1350.931039557","","","","49.677894736842106","49.677894736842106","49.677894736842106"
"1365.666875093","3.382456140350877","3.382456140350877","3.382456140350877","","",""
"1365.932609828","","","","51.32947368421053","51.32947368421053","51.32947368421053"
"1380.666582717","3.271929824561403","3.271929824561403","3.271929824561403","","",""
"1380.931374154","","","","55.04140350877192","55.04140350877192","55.04140350877192"
"1395.666747608","3.33719298245614","3.33719298245614","3.33719298245614","","",""
"1395.931497031","","","","64.33438596491229","64.33438596491229","64.33438596491229"
"1410.667236438","3.366315789473684","3.366315789473684","3.366315789473684","","",""
"1410.931732248","","","","63.90140350877193","63.90140350877193","63.90140350877193"
"1425.667153824","3.395087719298245","3.395087719298245","3.395087719298245","","",""
"1425.931797985","","","","55.38315789473685","55.38315789473685","55.38315789473685"
"1440.666625542","3.3543859649122805","3.3543859649122805","3.3543859649122805","","",""
"1440.931884637","","","","52.282105263157895","52.282105263157895","52.282105263157895"
"1455.666530759","3.356140350877193","3.356140350877193","3.356140350877193","","",""
"1455.932161426","","","","50.21649122807017","50.21649122807017","50.21649122807017"
"1470.665823839","3.340350877192982","3.340350877192982","3.340350877192982","","",""
"1470.932004472","","","","52.354035087719296","52.354035087719296","52.354035087719296"
"1485.667036419","3.386315789473684","3.386315789473684","3.386315789473684","","",""
"1485.93255337","","","","49.97929824561403","49.97929824561403","49.97929824561403"
"1500.66690614","3.3529824561403507","3.3529824561403507","3.3529824561403507","","",""
"1500.931810043","","","","50.59017543859648","50.59017543859648","50.59017543859648"
"1515.66691407","3.3350877192982455","3.3350877192982455","3.3350877192982455","","",""
"1515.93168703","","","","50.803859649122806","50.803859649122806","50.803859649122806"
"1530.666522781","3.30280701754386","3.30280701754386","3.30280701754386","","",""
"1530.932201145","","","","49.68","49.68","49.68"
"1545.668331854","3.295438596491228","3.295438596491228","3.295438596491228","","",""
"1545.931778935","","","","51.05754385964912","51.05754385964912","51.05754385964912"
"1560.667284677","3.3042105263157895","3.3042105263157895","3.3042105263157895","","",""
"1560.931506979","","","","54.52842105263158","54.52842105263158","54.52842105263158"
"1575.666661689","3.32","3.32","3.32","","",""
"1575.931495293","","","","50.67614035087718","50.67614035087718","50.67614035087718"
"1590.666191396","3.3319298245614033","3.3319298245614033","3.3319298245614033","","",""
"1590.931783251","","","","63.732280701754384","63.732280701754384","63.732280701754384"
"1605.667019893","3.3350877192982455","3.3350877192982455","3.3350877192982455","","",""
"1605.9323594","","","","65.48771929824561","65.48771929824561","65.48771929824561"
"1620.667049012","3.357543859649123","3.357543859649123","3.357543859649123","","",""
"1620.931623702","","","","54.47052631578948","54.47052631578948","54.47052631578948"
"1635.667057493","3.33719298245614","3.33719298245614","3.33719298245614","","",""
"1635.931501126","","","","46.64912280701754","46.64912280701754","46.64912280701754"
"1650.666952303","3.3898245614035085","3.3898245614035085","3.3898245614035085","","",""
"1650.931214709","","","","52.06385964912281","52.06385964912281","52.06385964912281"
"1665.665891407","3.3494736842105257","3.3494736842105257","3.3494736842105257","","",""
"1665.931770786","","","","53.85824561403509","53.85824561403509","53.85824561403509"
"1680.667487153","3.353684210526316","3.353684210526316","3.353684210526316","","",""
"1680.931754274","","","","50.98280701754385","50.98280701754385","50.98280701754385"
"1695.666828125","3.3736842105263154","3.3736842105263154","3.3736842105263154","","",""
"1695.932023725","","","","45.803859649122806","45.803859649122806","45.803859649122806"
"1710.666515617","3.374736842105263","3.374736842105263","3.374736842105263","","",""
"1710.93195611","","","","50.28035087719298","50.28035087719298","50.28035087719298"
"1725.6660189","3.3821052631578947","3.3821052631578947","3.3821052631578947","","",""
"1725.931613689","","","","47.152631578947364","47.152631578947364","47.152631578947364"
"1740.668115599","3.3091228070175434","3.3091228070175434","3.3091228070175434","","",""
"1740.931397979","","","","51.484210526315785","51.484210526315785","51.484210526315785"
"1755.666996505","3.3410526315789473","3.3410526315789473","3.3410526315789473","","",""
"1755.931739614","","","","51.68526315789473","51.68526315789473","51.68526315789473"
"1770.666528099","3.3382456140350873","3.3382456140350873","3.3382456140350873","","",""
"1770.932042832","","","","48.58105263157894","48.58105263157894","48.58105263157894"
"1785.66554132","3.3750877192982456","3.3750877192982456","3.3750877192982456","","",""
"1785.931544854","","","","63.42035087719297","63.42035087719297","63.42035087719297"
"1800.667400054","3.386315789473684","3.386315789473684","3.386315789473684","","",""
"1800.932669008","","","","65.35508771929824","65.35508771929824","65.35508771929824"
"1815.666940868","3.4126315789473685","3.4126315789473685","3.4126315789473685","","",""
"1815.931398027","","","","51.5859649122807","51.5859649122807","51.5859649122807"
"1830.666531192","3.364210526315789","3.364210526315789","3.364210526315789","","",""
"1830.93281877","","","","53.55684210526316","53.55684210526316","53.55684210526316"
"1845.665627864","3.401052631578947","3.401052631578947","3.401052631578947","","",""
"1845.932417222","","","","47.245614035087726","47.245614035087726","47.245614035087726"
"1860.667672652","3.3792982456140352","3.3792982456140352","3.3792982456140352","","",""
"1860.931290459","","","","51.340350877192975","51.340350877192975","51.340350877192975"
"1875.666863368","3.324561403508772","3.324561403508772","3.324561403508772","","",""
"1875.932487088","","","","55.56842105263158","55.56842105263158","55.56842105263158"
"1890.666503595","3.347017543859649","3.347017543859649","3.347017543859649","","",""
