"Relative Time (Process)","phase2_upper_half - system/gpu.0.smClock","phase2_upper_half - system/gpu.0.smClock__MIN","phase2_upper_half - system/gpu.0.smClock__MAX","phase1_top3 - system/gpu.0.smClock","phase1_top3 - system/gpu.0.smClock__MIN","phase1_top3 - system/gpu.0.smClock__MAX"
"4860.931722926","","","","2790","2790","2790"
"4875.668393772","210","210","210","","",""
"4875.931232737","","","","2790","2790","2790"
"4890.666778405","210","210","210","","",""
"4890.931649616","","","","2790","2790","2790"
"4905.66795594","210","210","210","","",""
"4905.931821193","","","","2790","2790","2790"
"4920.665991689","210","210","210","","",""
"4920.931937258","","","","2790","2790","2790"
"4935.667448818","210","210","210","","",""
"4935.931997236","","","","2790","2790","2790"
"4950.666857006","210","210","210","","",""
"4950.932163553","","","","2790","2790","2790"
"4965.67299736","210","210","210","","",""
"4965.931870361","","","","2790","2790","2790"
"4980.668314777","210","210","210","","",""
"4980.931798292","","","","2790","2790","2790"
"4995.667486666","210","210","210","","",""
"4995.931589433","","","","2790","2790","2790"
"5010.666148243","210","210","210","","",""
"5010.931722505","","","","2790","2790","2790"
"5025.666398576","210","210","210","","",""
"5025.932094892","","","","2790","2790","2790"
"5040.668111539","210","210","210","","",""
"5040.931756975","","","","2790","2790","2790"
"5055.66690552","210","210","210","","",""
"5055.931976387","","","","2790","2790","2790"
"5070.666252531","210","210","210","","",""
"5070.931391987","","","","2790","2790","2790"
"5085.666918298","210","210","210","","",""
"5085.932450382","","","","2790","2790","2790"
"5100.667916003","210","210","210","","",""
"5100.932012754","","","","2790","2790","2790"
"5115.666570149","210","210","210","","",""
"5115.93168801","","","","2790","2790","2790"
"5130.666060724","210","210","210","","",""
"5130.931909535","","","","2790","2790","2790"
"5145.668876045","210","210","210","","",""
"5145.932025802","","","","2790","2790","2790"
"5160.670496643","210","210","210","","",""
"5160.931344575","","","","2790","2790","2790"
"5175.66653378","210","210","210","","",""
"5175.931263272","","","","2790","2790","2790"
"5190.667389894","210","210","210","","",""
"5190.932613617","","","","2790","2790","2790"
"5205.666509818","210","210","210","","",""
"5205.93151213","","","","2790","2790","2790"
"5220.668939657","210","210","210","","",""
"5220.931025503","","","","2790","2790","2790"
"5235.673171839","210","210","210","","",""
"5235.931509598","","","","2790","2790","2790"
"5250.667010652","210","210","210","","",""
"5250.932615814","","","","2790","2790","2790"
"5265.665710872","210","210","210","","",""
"5265.931775257","","","","2790","2790","2790"
"5280.667493536","210","210","210","","",""
"5280.931548805","","","","2790","2790","2790"
"5295.66750386","210","210","210","","",""
"5295.931838165","","","","2790","2790","2790"
"5310.667503413","210","210","210","","",""
"5310.932226882","","","","2790","2790","2790"
"5325.665882099","210","210","210","","",""
"5325.932135324","","","","2790","2790","2790"
"5340.66474539","675","675","675","","",""
"5340.930977219","","","","2790","2790","2790"
"5355.667168176","675","675","675","","",""
"5355.931774569","","","","2805","2805","2805"
"5370.664831112","660","660","660","","",""
"5370.931525862","","","","2790","2790","2790"
"5385.666009128","690","690","690","","",""
"5385.932070416","","","","2790","2790","2790"
"5400.666373969","585","585","585","","",""
"5400.931069856","","","","2790","2790","2790"
"5415.667128033","600","600","600","","",""
"5415.93156426","","","","2790","2790","2790"
"5430.667200564","465","465","465","","",""
"5430.932035684","","","","2790","2790","2790"
"5445.665158977","660","660","660","","",""
"5445.932228068","","","","2790","2790","2790"
"5460.665517863","660","660","660","","",""
"5460.931960062","","","","2790","2790","2790"
"5475.668034396","525","525","525","","",""
"5475.931785551","","","","2790","2790","2790"
"5490.664892334","705","705","705","","",""
"5490.931454948","","","","2790","2790","2790"
"5505.665527617","555","555","555","","",""
"5505.932028347","","","","2790","2790","2790"
"5520.664998481","420","420","420","","",""
"5520.931247618","","","","2790","2790","2790"
"5535.668393746","645","645","645","","",""
"5535.931529441","","","","2790","2790","2790"
"5550.665565453","750","750","750","","",""
"5550.93216334","","","","2790","2790","2790"
"5565.664861544","675","675","675","","",""
"5565.931494514","","","","2790","2790","2790"
"5580.666009591","555","555","555","","",""
"5580.931724821","","","","2790","2790","2790"
"5595.667726708","525","525","525","","",""
"5595.93210448","","","","2790","2790","2790"
"5610.666295646","435","435","435","","",""
"5610.93172261","","","","2790","2790","2790"
"5625.668091699","570","570","570","","",""
"5625.93189489","","","","2790","2790","2790"
"5640.665423127","675","675","675","","",""
"5640.931624677","","","","2790","2790","2790"
"5655.664382669","690","690","690","","",""
"5655.931500659","","","","2790","2790","2790"
"5670.664254822","690","690","690","","",""
"5670.931850988","","","","2790","2790","2790"
"5685.665533389","750","750","750","","",""
"5685.931342543","","","","2790","2790","2790"
"5700.664795016","660","660","660","","",""
"5700.931455582","","","","2790","2790","2790"
"5715.665135645","600","600","600","","",""
"5715.93204769","","","","2790","2790","2790"
"5730.665465729","675","675","675","","",""
"5730.931521322","","","","2790","2790","2790"
"5745.666528378","660","660","660","","",""
"5745.932156204","","","","2790","2790","2790"
"5760.665321053","675","675","675","","",""
"5760.932418436","","","","2790","2790","2790"
"5775.665308155","660","660","660","","",""
"5775.93160504","","","","2790","2790","2790"
"5790.666739897","540","540","540","","",""
"5790.932388559","","","","2790","2790","2790"
"5805.666790032","330","330","330","","",""
"5805.932573636","","","","2790","2790","2790"
"5820.665584742","210","210","210","","",""
"5820.93203189","","","","2790","2790","2790"
"5835.667966979","210","210","210","","",""
"5835.93186589","","","","2790","2790","2790"
"5850.666997997","210","210","210","","",""
"5850.931317139","","","","2790","2790","2790"
"5865.665877773","210","210","210","","",""
"5865.930924953","","","","2790","2790","2790"
"5880.667210011","210","210","210","","",""
"5880.93160855","","","","2790","2790","2790"
"5895.667283272","210","210","210","","",""
"5895.932257361","","","","2790","2790","2790"
"5910.666907264","210","210","210","","",""
"5910.931540175","","","","2790","2790","2790"
"5925.667537852","210","210","210","","",""
"5925.931987392","","","","2790","2790","2790"
"5940.666576246","210","210","210","","",""
"5940.93144229","","","","2790","2790","2790"
"5955.665985814","210","210","210","","",""
"5955.932059281","","","","2790","2790","2790"
"5970.66645175","210","210","210","","",""
"5970.931255369","","","","2790","2790","2790"
"5985.666408401","210","210","210","","",""
"5985.931765265","","","","2790","2790","2790"
"6000.666380683","210","210","210","","",""
"6000.931444621","","","","2790","2790","2790"
"6015.665743666","210","210","210","","",""
"6015.931988889","","","","2790","2790","2790"
"6030.666046596","210","210","210","","",""
"6030.932360135","","","","2790","2790","2790"
"6045.667573079","210","210","210","","",""
"6045.931992549","","","","2790","2790","2790"
"6060.666701664","210","210","210","","",""
"6060.931099966","","","","2790","2790","2790"
"6075.667444567","210","210","210","","",""
"6075.931400978","","","","2790","2790","2790"
"6090.66527317","210","210","210","","",""
"6090.931782389","","","","2790","2790","2790"
"6105.665458191","210","210","210","","",""
"6105.932201244","","","","2790","2790","2790"
"6120.667486528","210","210","210","","",""
"6120.931439405","","","","2790","2790","2790"
"6135.666060233","210","210","210","","",""
"6135.931516128","","","","2790","2790","2790"
"6150.666409281","210","210","210","","",""
"6150.931761078","","","","2790","2790","2790"
"6165.667796634","210","210","210","","",""
"6165.932525929","","","","2790","2790","2790"
"6180.66716388","210","210","210","","",""
"6180.931582763","","","","2790","2790","2790"
"6195.665820152","210","210","210","","",""
"6195.932240108","","","","2790","2790","2790"
"6210.666239292","210","210","210","","",""
"6210.93203901","","","","2790","2790","2790"
"6225.665215719","210","210","210","","",""
"6225.932257173","","","","2790","2790","2790"
"6240.666346843","210","210","210","","",""
"6240.931193446","","","","2790","2790","2790"
"6255.666506177","210","210","210","","",""
"6255.932616568","","","","2790","2790","2790"
"6270.665259877","210","210","210","","",""
"6270.932128416","","","","2790","2790","2790"
"6285.666802653","210","210","210","","",""
"6285.931765248","","","","2790","2790","2790"
"6300.666095598","210","210","210","","",""
"6300.93195975","","","","2790","2790","2790"
"6315.665596861","210","210","210","","",""
"6315.932291121","","","","2790","2790","2790"
"6330.666004102","210","210","210","","",""
"6330.931802803","","","","2790","2790","2790"
"6345.665431071","210","210","210","","",""
"6345.931519364","","","","2790","2790","2790"
"6360.665751353","210","210","210","","",""
"6360.931978562","","","","2790","2790","2790"
"6375.667007685","210","210","210","","",""
"6375.932224906","","","","2790","2790","2790"
"6390.666478566","210","210","210","","",""
"6390.932322114","","","","2790","2790","2790"
"6405.665629486","210","210","210","","",""
"6405.93162993","","","","2790","2790","2790"
"6420.668000797","210","210","210","","",""
"6420.932268122","","","","2790","2790","2790"
"6435.665636755","210","210","210","","",""
"6435.931623128","","","","2790","2790","2790"
"6450.665573233","210","210","210","","",""
"6450.932219994","","","","2790","2790","2790"
"6465.66695282","210","210","210","","",""
"6465.932211206","","","","2790","2790","2790"
"6480.666721496","210","210","210","","",""
"6480.931851922","","","","2790","2790","2790"
"6495.66644768","210","210","210","","",""
"6495.931844043","","","","2790","2790","2790"
"6510.666275131","210","210","210","","",""
"6510.932536816","","","","2790","2790","2790"
"6525.66741765","210","210","210","","",""
"6525.932340875","","","","2790","2790","2790"
"6540.666773814","210","210","210","","",""
"6540.931805001","","","","2790","2790","2790"
"6555.66552569","210","210","210","","",""
"6555.931183962","","","","2790","2790","2790"
"6570.665877167","210","210","210","","",""
"6570.93236441","","","","2790","2790","2790"
"6585.665522184","210","210","210","","",""
"6585.931648796","","","","2790","2790","2790"
"6600.665171227","210","210","210","","",""
"6600.931932523","","","","2790","2790","2790"
"6615.666290676","210","210","210","","",""
"6615.932376971","","","","2790","2790","2790"
"6630.665728316","210","210","210","","",""
"6630.93142381","","","","2790","2790","2790"
"6645.66630066","210","210","210","","",""
"6645.931762939","","","","2790","2790","2790"
"6660.666193953","210","210","210","","",""
"6660.931737518","","","","2790","2790","2790"
"6675.666614008","210","210","210","","",""
"6675.931933998","","","","2790","2790","2790"
"6690.667416295","210","210","210","","",""
"6690.931169516","","","","2790","2790","2790"
"6705.666542569","210","210","210","","",""
"6705.931971429","","","","2790","2790","2790"
"6720.665575061","210","210","210","","",""
"6720.932921615","","","","2790","2790","2790"
"6735.666175291","210","210","210","","",""
"6735.931623066","","","","2790","2790","2790"
"6750.66687336","210","210","210","","",""
"6750.932399456","","","","2790","2790","2790"
"6765.666478763","210","210","210","","",""
"6765.932244867","","","","2790","2790","2790"
"6780.666016302","210","210","210","","",""
"6780.932086768","","","","2775","2775","2775"
"6795.665446049","210","210","210","","",""
"6795.931669676","","","","2790","2790","2790"
"6810.93224745","","","","2790","2790","2790"
"6825.931353333","","","","2790","2790","2790"
"6840.931552028","","","","2790","2790","2790"
"6855.932309978","","","","2790","2790","2790"
"6870.931719397","","","","2790","2790","2790"
"6885.931617794","","","","2790","2790","2790"
"6900.931987978","","","","2790","2790","2790"
"6915.932696031","","","","2790","2790","2790"
"6930.931140168","","","","2790","2790","2790"
"6945.932420906","","","","2790","2790","2790"
"6960.932116389","","","","2790","2790","2790"
"6975.931995334","","","","2790","2790","2790"
"6990.932204108","","","","2805","2805","2805"
"7005.930788411","","","","2775","2775","2775"
"7020.93194678","","","","2775","2775","2775"
"7035.931465028","","","","2775","2775","2775"
"7050.933238908","","","","2775","2775","2775"
"7065.931944647","","","","2790","2790","2790"
"7080.932320516","","","","2775","2775","2775"
"7095.931222582","","","","2760","2760","2760"
"7110.931543886","","","","2775","2775","2775"
"7125.931716958","","","","2790","2790","2790"
"7140.931841792","","","","2775","2775","2775"
"7155.93122839","","","","2775","2775","2775"
"7170.932849976","","","","2790","2790","2790"
"7185.931114773","","","","2775","2775","2775"
"7200.931788105","","","","2775","2775","2775"
"7215.932019208","","","","2775","2775","2775"
"7230.931993404","","","","2790","2790","2790"
"7245.931413644","","","","2775","2775","2775"
"7260.932352581","","","","2775","2775","2775"
"7275.932781644","","","","2640","2640","2640"
"7290.932878197","","","","210","210","210"
