"Relative Time (Process)","phase2_upper_half - system/gpu.0.smClock","phase2_upper_half - system/gpu.0.smClock__MIN","phase2_upper_half - system/gpu.0.smClock__MAX","phase1_top3 - system/gpu.0.smClock","phase1_top3 - system/gpu.0.smClock__MIN","phase1_top3 - system/gpu.0.smClock__MAX"
"885.667032593","210","210","210","","",""
"885.931880696","","","","2790","2790","2790"
"900.666848399","210","210","210","","",""
"900.931493352","","","","2790","2790","2790"
"915.66648174","210","210","210","","",""
"915.931610099","","","","2790","2790","2790"
"930.667253514","210","210","210","","",""
"930.931060058","","","","2790","2790","2790"
"945.667091203","210","210","210","","",""
"945.932317999","","","","2790","2790","2790"
"960.66690298","210","210","210","","",""
"960.931533773","","","","2790","2790","2790"
"975.665967275","210","210","210","","",""
"975.931110342","","","","2790","2790","2790"
"990.667147225","210","210","210","","",""
"990.931922047","","","","2790","2790","2790"
"1005.665998284","210","210","210","","",""
"1005.932451246","","","","2790","2790","2790"
"1020.666691819","210","210","210","","",""
"1020.932320445","","","","2790","2790","2790"
"1035.666315567","210","210","210","","",""
"1035.931826521","","","","2790","2790","2790"
"1050.66729255","210","210","210","","",""
"1050.931038286","","","","2790","2790","2790"
"1065.666648517","210","210","210","","",""
"1065.931967238","","","","2790","2790","2790"
"1080.667764395","210","210","210","","",""
"1080.931839267","","","","2790","2790","2790"
"1095.666113562","210","210","210","","",""
"1095.931642688","","","","2790","2790","2790"
"1110.667282445","210","210","210","","",""
"1110.931667788","","","","2790","2790","2790"
"1125.667405111","210","210","210","","",""
"1125.931702361","","","","2790","2790","2790"
"1140.666026362","210","210","210","","",""
"1140.931633676","","","","2790","2790","2790"
"1155.667187312","210","210","210","","",""
"1155.932037949","","","","2790","2790","2790"
"1170.667225484","210","210","210","","",""
"1170.932010387","","","","2790","2790","2790"
"1185.665755261","210","210","210","","",""
"1185.9317887","","","","2790","2790","2790"
"1200.666696471","210","210","210","","",""
"1200.931569028","","","","2790","2790","2790"
"1215.666520361","210","210","210","","",""
"1215.931543553","","","","2790","2790","2790"
"1230.667375359","210","210","210","","",""
"1230.931732019","","","","2790","2790","2790"
"1245.667171732","210","210","210","","",""
"1245.931456536","","","","2790","2790","2790"
"1260.666402562","210","210","210","","",""
"1260.931303064","","","","2790","2790","2790"
"1275.667346169","210","210","210","","",""
"1275.931843835","","","","2790","2790","2790"
"1290.6666186","210","210","210","","",""
"1290.931342458","","","","2790","2790","2790"
"1305.66721226","210","210","210","","",""
"1305.93201707","","","","2790","2790","2790"
"1320.66549648","210","210","210","","",""
"1320.931718695","","","","2790","2790","2790"
"1335.666690484","210","210","210","","",""
"1335.931848477","","","","2790","2790","2790"
"1350.666628348","210","210","210","","",""
"1350.931039557","","","","2790","2790","2790"
"1365.666875093","210","210","210","","",""
"1365.932609828","","","","2790","2790","2790"
"1380.666582717","210","210","210","","",""
"1380.931374154","","","","2790","2790","2790"
"1395.666747608","210","210","210","","",""
"1395.931497031","","","","2790","2790","2790"
"1410.667236438","210","210","210","","",""
"1410.931732248","","","","2790","2790","2790"
"1425.667153824","210","210","210","","",""
"1425.931797985","","","","2790","2790","2790"
"1440.666625542","210","210","210","","",""
"1440.931884637","","","","2790","2790","2790"
"1455.666530759","210","210","210","","",""
"1455.932161426","","","","2790","2790","2790"
"1470.665823839","210","210","210","","",""
"1470.932004472","","","","2790","2790","2790"
"1485.667036419","210","210","210","","",""
"1485.93255337","","","","2790","2790","2790"
"1500.66690614","210","210","210","","",""
"1500.931810043","","","","2790","2790","2790"
"1515.66691407","210","210","210","","",""
"1515.93168703","","","","2790","2790","2790"
"1530.666522781","210","210","210","","",""
"1530.932201145","","","","2790","2790","2790"
"1545.668331854","210","210","210","","",""
"1545.931778935","","","","2790","2790","2790"
"1560.667284677","210","210","210","","",""
"1560.931506979","","","","2790","2790","2790"
"1575.666661689","210","210","210","","",""
"1575.931495293","","","","2790","2790","2790"
"1590.666191396","210","210","210","","",""
"1590.931783251","","","","2790","2790","2790"
"1605.667019893","210","210","210","","",""
"1605.9323594","","","","2790","2790","2790"
"1620.667049012","210","210","210","","",""
"1620.931623702","","","","2790","2790","2790"
"1635.667057493","210","210","210","","",""
"1635.931501126","","","","2790","2790","2790"
"1650.666952303","210","210","210","","",""
"1650.931214709","","","","2790","2790","2790"
"1665.665891407","210","210","210","","",""
"1665.931770786","","","","2790","2790","2790"
"1680.667487153","210","210","210","","",""
"1680.931754274","","","","2790","2790","2790"
"1695.666828125","210","210","210","","",""
"1695.932023725","","","","2790","2790","2790"
"1710.666515617","210","210","210","","",""
"1710.93195611","","","","2790","2790","2790"
"1725.6660189","210","210","210","","",""
"1725.931613689","","","","2790","2790","2790"
"1740.668115599","210","210","210","","",""
"1740.931397979","","","","2790","2790","2790"
"1755.666996505","210","210","210","","",""
"1755.931739614","","","","2790","2790","2790"
"1770.666528099","210","210","210","","",""
"1770.932042832","","","","2790","2790","2790"
"1785.66554132","210","210","210","","",""
"1785.931544854","","","","2790","2790","2790"
"1800.667400054","210","210","210","","",""
"1800.932669008","","","","2790","2790","2790"
"1815.666940868","210","210","210","","",""
"1815.931398027","","","","2790","2790","2790"
"1830.666531192","210","210","210","","",""
"1830.93281877","","","","2790","2790","2790"
"1845.665627864","210","210","210","","",""
"1845.932417222","","","","2790","2790","2790"
"1860.667672652","210","210","210","","",""
"1860.931290459","","","","2790","2790","2790"
"1875.666863368","210","210","210","","",""
"1875.932487088","","","","2790","2790","2790"
"1890.666503595","210","210","210","","",""
"1890.932058552","","","","2790","2790","2790"
"1905.666732031","210","210","210","","",""
"1905.931759122","","","","2790","2790","2790"
"1920.666072474","210","210","210","","",""
"1920.932325276","","","","2790","2790","2790"
"1935.666847162","210","210","210","","",""
"1935.932018898","","","","2790","2790","2790"
"1950.666566966","210","210","210","","",""
"1950.931264825","","","","2790","2790","2790"
"1965.666932631","210","210","210","","",""
"1965.932365549","","","","2640","2640","2640"
"1980.666850531","210","210","210","","",""
"1980.931380021","","","","2790","2790","2790"
"1995.6674397","210","210","210","","",""
"1995.932333417","","","","2790","2790","2790"
"2010.666548299","210","210","210","","",""
"2010.931779191","","","","2790","2790","2790"
"2025.665781407","210","210","210","","",""
"2025.931496808","","","","2790","2790","2790"
"2040.666865938","210","210","210","","",""
"2040.931965405","","","","2790","2790","2790"
"2055.667525209","210","210","210","","",""
"2055.931482467","","","","2790","2790","2790"
"2070.667009492","210","210","210","","",""
"2070.931820973","","","","2790","2790","2790"
"2085.667548553","210","210","210","","",""
"2085.931317679","","","","2790","2790","2790"
"2100.666172619","210","210","210","","",""
"2100.931826858","","","","2790","2790","2790"
"2115.667082026","210","210","210","","",""
"2115.932040815","","","","2790","2790","2790"
"2130.667402176","210","210","210","","",""
"2130.932416649","","","","2790","2790","2790"
"2145.666847419","210","210","210","","",""
"2145.931468792","","","","2790","2790","2790"
"2160.667249265","210","210","210","","",""
"2160.933154596","","","","2790","2790","2790"
"2175.666729879","210","210","210","","",""
"2175.931987864","","","","2790","2790","2790"
"2190.666995365","210","210","210","","",""
"2190.932377026","","","","2790","2790","2790"
"2205.666350986","210","210","210","","",""
"2205.932050125","","","","2790","2790","2790"
"2220.667085693","210","210","210","","",""
"2220.93160359","","","","2790","2790","2790"
"2235.666917501","210","210","210","","",""
"2235.931713771","","","","2790","2790","2790"
"2250.667733894","210","210","210","","",""
"2250.931664205","","","","2790","2790","2790"
"2265.667245159","210","210","210","","",""
"2265.931409297","","","","2790","2790","2790"
"2280.667677764","210","210","210","","",""
"2280.931421709","","","","2790","2790","2790"
"2295.666814409","210","210","210","","",""
"2295.932355815","","","","2790","2790","2790"
"2310.667180923","210","210","210","","",""
"2310.931244129","","","","2790","2790","2790"
"2325.666612387","210","210","210","","",""
"2325.932249295","","","","2790","2790","2790"
"2340.667770211","210","210","210","","",""
"2340.931770534","","","","2790","2790","2790"
"2355.667023222","210","210","210","","",""
"2355.932065658","","","","2790","2790","2790"
"2370.666329674","210","210","210","","",""
"2370.931674472","","","","2790","2790","2790"
"2385.666570693","210","210","210","","",""
"2385.931934217","","","","2790","2790","2790"
"2400.667002055","210","210","210","","",""
"2400.932375082","","","","2790","2790","2790"
"2415.666851414","210","210","210","","",""
"2415.931970635","","","","2790","2790","2790"
"2430.666468728","210","210","210","","",""
"2430.931923605","","","","2790","2790","2790"
"2445.667878092","210","210","210","","",""
"2445.931539279","","","","2790","2790","2790"
"2460.666844128","210","210","210","","",""
"2460.930984774","","","","2790","2790","2790"
"2475.667305602","210","210","210","","",""
"2475.931894775","","","","2790","2790","2790"
"2490.666629759","210","210","210","","",""
"2490.931776162","","","","2790","2790","2790"
"2505.667414477","210","210","210","","",""
"2505.932024845","","","","2790","2790","2790"
"2520.666762943","210","210","210","","",""
"2520.932300839","","","","2790","2790","2790"
"2535.667009704","210","210","210","","",""
"2535.931317434","","","","2790","2790","2790"
"2550.668207084","210","210","210","","",""
"2550.932024445","","","","2790","2790","2790"
"2565.668088845","210","210","210","","",""
"2565.932188337","","","","2790","2790","2790"
"2580.666951945","210","210","210","","",""
"2580.931526643","","","","2790","2790","2790"
"2595.66586268","210","210","210","","",""
"2595.93204007","","","","2790","2790","2790"
"2610.666994155","210","210","210","","",""
"2610.932561734","","","","2790","2790","2790"
"2625.667166326","210","210","210","","",""
"2625.931784131","","","","2790","2790","2790"
"2640.666952189","210","210","210","","",""
"2640.931605736","","","","2790","2790","2790"
"2655.665812772","210","210","210","","",""
"2655.931531447","","","","2790","2790","2790"
"2670.66686496","210","210","210","","",""
"2670.931601834","","","","2790","2790","2790"
"2685.666763498","210","210","210","","",""
"2685.931954705","","","","2790","2790","2790"
"2700.66692739","210","210","210","","",""
"2700.931982636","","","","2790","2790","2790"
"2715.667115679","210","210","210","","",""
"2715.931472102","","","","2790","2790","2790"
"2730.666162574","210","210","210","","",""
"2730.93207571","","","","2790","2790","2790"
"2745.667508092","210","210","210","","",""
"2745.932125923","","","","2790","2790","2790"
"2760.665250785","210","210","210","","",""
"2760.931253886","","","","2790","2790","2790"
"2775.666821289","210","210","210","","",""
"2775.931340292","","","","2790","2790","2790"
"2790.667032793","210","210","210","","",""
"2790.932225139","","","","2790","2790","2790"
"2805.66754164","210","210","210","","",""
"2805.932762596","","","","2790","2790","2790"
"2820.66629001","210","210","210","","",""
"2820.931195718","","","","2790","2790","2790"
"2835.667386683","210","210","210","","",""
"2835.93229029","","","","2790","2790","2790"
"2850.6667667","210","210","210","","",""
"2850.931808215","","","","2790","2790","2790"
"2865.666568299","210","210","210","","",""
"2865.931853979","","","","2790","2790","2790"
"2880.666497452","210","210","210","","",""
"2880.931310076","","","","2790","2790","2790"
"2895.666698746","210","210","210","","",""
"2895.931767146","","","","2790","2790","2790"
"2910.666547747","210","210","210","","",""
"2910.932031146","","","","2790","2790","2790"
"2925.66644751","210","210","210","","",""
"2925.932346858","","","","2790","2790","2790"
"2940.667047668","210","210","210","","",""
"2940.932300931","","","","2790","2790","2790"
"2955.667543739","210","210","210","","",""
"2955.932226066","","","","2790","2790","2790"
"2970.666897679","210","210","210","","",""
"2970.931397837","","","","2790","2790","2790"
"2985.667325335","210","210","210","","",""
"2985.931978912","","","","2790","2790","2790"
"3000.666477113","210","210","210","","",""
"3000.931800142","","","","2790","2790","2790"
"3015.667282534","210","210","210","","",""
"3015.932022212","","","","2790","2790","2790"
"3030.667519223","210","210","210","","",""
"3030.931907342","","","","2790","2790","2790"
"3045.666767786","210","210","210","","",""
"3045.932183025","","","","2790","2790","2790"
"3060.666644318","210","210","210","","",""
"3060.931577026","","","","2790","2790","2790"
"3075.666182324","210","210","210","","",""
"3075.93100952","","","","2790","2790","2790"
"3090.666671603","210","210","210","","",""
"3090.9317238","","","","2790","2790","2790"
"3105.667336158","210","210","210","","",""
"3105.932030609","","","","2790","2790","2790"
"3120.666203708","210","210","210","","",""
"3120.931772495","","","","2790","2790","2790"
"3135.666589184","210","210","210","","",""
"3135.931522044","","","","2790","2790","2790"
"3150.666895531","210","210","210","","",""
"3150.931275085","","","","2790","2790","2790"
"3165.666842192","210","210","210","","",""
"3165.931875143","","","","2790","2790","2790"
"3180.666365667","210","210","210","","",""
"3180.932049401","","","","2790","2790","2790"
"3195.667101832","210","210","210","","",""
"3195.930936319","","","","2790","2790","2790"
"3210.667733611","210","210","210","","",""
"3210.931636408","","","","2790","2790","2790"
"3225.666726334","210","210","210","","",""
"3225.931599699","","","","2790","2790","2790"
"3240.666552292","210","210","210","","",""
"3240.931902892","","","","2790","2790","2790"
"3255.666771393","210","210","210","","",""
"3255.931611986","","","","2790","2790","2790"
"3270.666982299","210","210","210","","",""
"3270.932144144","","","","2790","2790","2790"
"3285.667063823","210","210","210","","",""
"3285.932388076","","","","2790","2790","2790"
"3300.667461008","210","210","210","","",""
"3300.931036562","","","","2790","2790","2790"
"3315.667149611","210","210","210","","",""
"3315.931967671","","","","2790","2790","2790"
"3330.667315397","210","210","210","","",""
"3330.931990107","","","","2790","2790","2790"
"3345.667525453","210","210","210","","",""
"3345.932142746","","","","2790","2790","2790"
"3360.666862743","210","210","210","","",""
"3360.931811612","","","","2790","2790","2790"
"3375.666818736","210","210","210","","",""
"3375.931800117","","","","2790","2790","2790"
"3390.667459593","210","210","210","","",""
"3390.932108385","","","","2790","2790","2790"
"3405.666757558","210","210","210","","",""
"3405.931994533","","","","2790","2790","2790"
"3420.667090577","210","210","210","","",""
"3420.931499364","","","","2790","2790","2790"
"3435.667992003","210","210","210","","",""
"3435.931455715","","","","2790","2790","2790"
"3450.667150268","210","210","210","","",""
"3450.931773165","","","","2790","2790","2790"
"3465.667282651","210","210","210","","",""
"3465.931178682","","","","2790","2790","2790"
"3480.666422066","210","210","210","","",""
"3480.931598836","","","","2790","2790","2790"
"3495.666957751","210","210","210","","",""
"3495.932462869","","","","2790","2790","2790"
"3510.666390978","210","210","210","","",""
"3510.932279773","","","","2790","2790","2790"
"3525.667154906","210","210","210","","",""
"3525.932059143","","","","2790","2790","2790"
"3540.666417215","210","210","210","","",""
"3540.9313062","","","","2790","2790","2790"
"3555.666740842","210","210","210","","",""
"3555.931765795","","","","2790","2790","2790"
