"Step","phase1_top3 - training_batch_wer","phase1_top3 - training_batch_wer__MIN","phase1_top3 - training_batch_wer__MAX"
"8","1","1","1"
"3514","1","1","1"
"7020","1","1","1"
"10526","1","1","1"
"10535","1","1","1"
"14041","1","1","1"
"17547","1","1","1"
"21053","1","1","1"
"24559","1","1","1"
"24568","1","1","1"
"28074","1","1","1"
"31580","1","1","1"
"35086","1","1","1"
"38592","1","1","1"
"38601","1","1","1"
"42107","1","1","1"
"45613","0.9577381014823914","0.9577381014823914","0.9577381014823914"
"49119","1","1","1"
"52625","0.9736841917037964","0.9736841917037964","0.9736841917037964"
"52634","0.9502314925193787","0.9502314925193787","0.9502314925193787"
"56140","0.883088231086731","0.883088231086731","0.883088231086731"
"59646","0.9342105388641357","0.9342105388641357","0.9342105388641357"
"63152","0.884615421295166","0.884615421295166","0.884615421295166"
"66658","0.8591136932373047","0.8591136932373047","0.8591136932373047"
"66667","0.6833333373069763","0.6833333373069763","0.6833333373069763"
"70173","0.7762237787246704","0.7762237787246704","0.7762237787246704"
"73679","0.6246334314346313","0.6246334314346313","0.6246334314346313"
"77185","0.6499999761581421","0.6499999761581421","0.6499999761581421"
"80691","0.7785326242446899","0.7785326242446899","0.7785326242446899"
"80700","0.8308080434799194","0.8308080434799194","0.8308080434799194"
"84206","0.7765072584152222","0.7765072584152222","0.7765072584152222"
"87712","0.814939022064209","0.814939022064209","0.814939022064209"
"91218","0.6625387072563171","0.6625387072563171","0.6625387072563171"
"94724","0.6857143044471741","0.6857143044471741","0.6857143044471741"
"94733","0.46666666865348816","0.46666666865348816","0.46666666865348816"
"98239","0.7592592835426331","0.7592592835426331","0.7592592835426331"
"101745","0.693509578704834","0.693509578704834","0.693509578704834"
"105251","0.8020833730697632","0.8020833730697632","0.8020833730697632"
"108757","0.634469747543335","0.634469747543335","0.634469747543335"
"108766","0.7789046764373779","0.7789046764373779","0.7789046764373779"
