"Relative Time (Process)","phase2_upper_half - system/gpu.0.memoryClock","phase2_upper_half - system/gpu.0.memoryClock__MIN","phase2_upper_half - system/gpu.0.memoryClock__MAX","phase1_top3 - system/gpu.0.memoryClock","phase1_top3 - system/gpu.0.memoryClock__MIN","phase1_top3 - system/gpu.0.memoryClock__MAX"
"4785.66527506","405","405","405","","",""
"4785.931259996","","","","10251","10251","10251"
"4800.668649208","405","405","405","","",""
"4800.931457067","","","","10251","10251","10251"
"4815.667630267","405","405","405","","",""
"4815.931641699","","","","10251","10251","10251"
"4830.67016713","405","405","405","","",""
"4830.93208955","","","","10251","10251","10251"
"4845.666146557","405","405","405","","",""
"4845.931731171","","","","10251","10251","10251"
"4860.665939334","405","405","405","","",""
"4860.931722926","","","","10251","10251","10251"
"4875.668393772","405","405","405","","",""
"4875.931232737","","","","10251","10251","10251"
"4890.666778405","405","405","405","","",""
"4890.931649616","","","","10251","10251","10251"
"4905.66795594","405","405","405","","",""
"4905.931821193","","","","10251","10251","10251"
"4920.665991689","405","405","405","","",""
"4920.931937258","","","","10251","10251","10251"
"4935.667448818","405","405","405","","",""
"4935.931997236","","","","10251","10251","10251"
"4950.666857006","405","405","405","","",""
"4950.932163553","","","","10251","10251","10251"
"4965.67299736","405","405","405","","",""
"4965.931870361","","","","10251","10251","10251"
"4980.668314777","405","405","405","","",""
"4980.931798292","","","","10251","10251","10251"
"4995.667486666","405","405","405","","",""
"4995.931589433","","","","10251","10251","10251"
"5010.666148243","405","405","405","","",""
"5010.931722505","","","","10251","10251","10251"
"5025.666398576","405","405","405","","",""
"5025.932094892","","","","10251","10251","10251"
"5040.668111539","405","405","405","","",""
"5040.931756975","","","","10251","10251","10251"
"5055.66690552","405","405","405","","",""
"5055.931976387","","","","10251","10251","10251"
"5070.666252531","405","405","405","","",""
"5070.931391987","","","","10251","10251","10251"
"5085.666918298","405","405","405","","",""
"5085.932450382","","","","10251","10251","10251"
"5100.667916003","405","405","405","","",""
"5100.932012754","","","","10251","10251","10251"
"5115.666570149","405","405","405","","",""
"5115.93168801","","","","10251","10251","10251"
"5130.666060724","405","405","405","","",""
"5130.931909535","","","","10251","10251","10251"
"5145.668876045","405","405","405","","",""
"5145.932025802","","","","10251","10251","10251"
"5160.670496643","405","405","405","","",""
"5160.931344575","","","","10251","10251","10251"
"5175.66653378","405","405","405","","",""
"5175.931263272","","","","10251","10251","10251"
"5190.667389894","405","405","405","","",""
"5190.932613617","","","","10251","10251","10251"
"5205.666509818","405","405","405","","",""
"5205.93151213","","","","10251","10251","10251"
"5220.668939657","405","405","405","","",""
"5220.931025503","","","","10251","10251","10251"
"5235.673171839","405","405","405","","",""
"5235.931509598","","","","10251","10251","10251"
"5250.667010652","405","405","405","","",""
"5250.932615814","","","","10251","10251","10251"
"5265.665710872","405","405","405","","",""
"5265.931775257","","","","10251","10251","10251"
"5280.667493536","405","405","405","","",""
"5280.931548805","","","","10251","10251","10251"
"5295.66750386","405","405","405","","",""
"5295.931838165","","","","10251","10251","10251"
"5310.667503413","405","405","405","","",""
"5310.932226882","","","","10251","10251","10251"
"5325.665882099","405","405","405","","",""
"5325.932135324","","","","10251","10251","10251"
"5340.66474539","810","810","810","","",""
"5340.930977219","","","","10251","10251","10251"
"5355.667168176","810","810","810","","",""
"5355.931774569","","","","10251","10251","10251"
"5370.664831112","810","810","810","","",""
"5370.931525862","","","","10251","10251","10251"
"5385.666009128","810","810","810","","",""
"5385.932070416","","","","10251","10251","10251"
"5400.666373969","405","405","405","","",""
"5400.931069856","","","","10251","10251","10251"
"5415.667128033","405","405","405","","",""
"5415.93156426","","","","10251","10251","10251"
"5430.667200564","405","405","405","","",""
"5430.932035684","","","","10251","10251","10251"
"5445.665158977","810","810","810","","",""
"5445.932228068","","","","10251","10251","10251"
"5460.665517863","810","810","810","","",""
"5460.931960062","","","","10251","10251","10251"
"5475.668034396","405","405","405","","",""
"5475.931785551","","","","10251","10251","10251"
"5490.664892334","810","810","810","","",""
"5490.931454948","","","","10251","10251","10251"
"5505.665527617","405","405","405","","",""
"5505.932028347","","","","10251","10251","10251"
"5520.664998481","405","405","405","","",""
"5520.931247618","","","","10251","10251","10251"
"5535.668393746","405","405","405","","",""
"5535.931529441","","","","10251","10251","10251"
"5550.665565453","810","810","810","","",""
"5550.93216334","","","","10251","10251","10251"
"5565.664861544","810","810","810","","",""
"5565.931494514","","","","10251","10251","10251"
"5580.666009591","405","405","405","","",""
"5580.931724821","","","","10251","10251","10251"
"5595.667726708","405","405","405","","",""
"5595.93210448","","","","10251","10251","10251"
"5610.666295646","405","405","405","","",""
"5610.93172261","","","","10251","10251","10251"
"5625.668091699","405","405","405","","",""
"5625.93189489","","","","10251","10251","10251"
"5640.665423127","810","810","810","","",""
"5640.931624677","","","","10251","10251","10251"
"5655.664382669","810","810","810","","",""
"5655.931500659","","","","10251","10251","10251"
"5670.664254822","810","810","810","","",""
"5670.931850988","","","","10251","10251","10251"
"5685.665533389","810","810","810","","",""
"5685.931342543","","","","10251","10251","10251"
"5700.664795016","810","810","810","","",""
"5700.931455582","","","","10251","10251","10251"
"5715.665135645","405","405","405","","",""
"5715.93204769","","","","10251","10251","10251"
"5730.665465729","810","810","810","","",""
"5730.931521322","","","","10251","10251","10251"
"5745.666528378","810","810","810","","",""
"5745.932156204","","","","10251","10251","10251"
"5760.665321053","810","810","810","","",""
"5760.932418436","","","","10251","10251","10251"
"5775.665308155","810","810","810","","",""
"5775.93160504","","","","10251","10251","10251"
"5790.666739897","405","405","405","","",""
"5790.932388559","","","","10251","10251","10251"
"5805.666790032","405","405","405","","",""
"5805.932573636","","","","10251","10251","10251"
"5820.665584742","405","405","405","","",""
"5820.93203189","","","","10251","10251","10251"
"5835.667966979","405","405","405","","",""
"5835.93186589","","","","10251","10251","10251"
"5850.666997997","405","405","405","","",""
"5850.931317139","","","","10251","10251","10251"
"5865.665877773","405","405","405","","",""
"5865.930924953","","","","10251","10251","10251"
"5880.667210011","405","405","405","","",""
"5880.93160855","","","","10251","10251","10251"
"5895.667283272","405","405","405","","",""
"5895.932257361","","","","10251","10251","10251"
"5910.666907264","405","405","405","","",""
"5910.931540175","","","","10251","10251","10251"
"5925.667537852","405","405","405","","",""
"5925.931987392","","","","10251","10251","10251"
"5940.666576246","405","405","405","","",""
"5940.93144229","","","","10251","10251","10251"
"5955.665985814","405","405","405","","",""
"5955.932059281","","","","10251","10251","10251"
"5970.66645175","405","405","405","","",""
"5970.931255369","","","","10251","10251","10251"
"5985.666408401","405","405","405","","",""
"5985.931765265","","","","10251","10251","10251"
"6000.666380683","405","405","405","","",""
"6000.931444621","","","","10251","10251","10251"
"6015.665743666","405","405","405","","",""
"6015.931988889","","","","10251","10251","10251"
"6030.666046596","405","405","405","","",""
"6030.932360135","","","","10251","10251","10251"
"6045.667573079","405","405","405","","",""
"6045.931992549","","","","10251","10251","10251"
"6060.666701664","405","405","405","","",""
"6060.931099966","","","","10251","10251","10251"
"6075.667444567","405","405","405","","",""
"6075.931400978","","","","10251","10251","10251"
"6090.66527317","405","405","405","","",""
"6090.931782389","","","","10251","10251","10251"
"6105.665458191","405","405","405","","",""
"6105.932201244","","","","10251","10251","10251"
"6120.667486528","405","405","405","","",""
"6120.931439405","","","","10251","10251","10251"
"6135.666060233","405","405","405","","",""
"6135.931516128","","","","10251","10251","10251"
"6150.666409281","405","405","405","","",""
"6150.931761078","","","","10251","10251","10251"
"6165.667796634","405","405","405","","",""
"6165.932525929","","","","10251","10251","10251"
"6180.66716388","405","405","405","","",""
"6180.931582763","","","","10251","10251","10251"
"6195.665820152","405","405","405","","",""
"6195.932240108","","","","10251","10251","10251"
"6210.666239292","405","405","405","","",""
"6210.93203901","","","","10251","10251","10251"
"6225.665215719","405","405","405","","",""
"6225.932257173","","","","10251","10251","10251"
"6240.666346843","405","405","405","","",""
"6240.931193446","","","","10251","10251","10251"
"6255.666506177","405","405","405","","",""
"6255.932616568","","","","10251","10251","10251"
"6270.665259877","405","405","405","","",""
"6270.932128416","","","","10251","10251","10251"
"6285.666802653","405","405","405","","",""
"6285.931765248","","","","10251","10251","10251"
"6300.666095598","405","405","405","","",""
"6300.93195975","","","","10251","10251","10251"
"6315.665596861","405","405","405","","",""
"6315.932291121","","","","10251","10251","10251"
"6330.666004102","405","405","405","","",""
"6330.931802803","","","","10251","10251","10251"
"6345.665431071","405","405","405","","",""
"6345.931519364","","","","10251","10251","10251"
"6360.665751353","405","405","405","","",""
"6360.931978562","","","","10251","10251","10251"
"6375.667007685","405","405","405","","",""
"6375.932224906","","","","10251","10251","10251"
"6390.666478566","405","405","405","","",""
"6390.932322114","","","","10251","10251","10251"
"6405.665629486","405","405","405","","",""
"6405.93162993","","","","10251","10251","10251"
"6420.668000797","405","405","405","","",""
"6420.932268122","","","","10251","10251","10251"
"6435.665636755","405","405","405","","",""
"6435.931623128","","","","10251","10251","10251"
"6450.665573233","405","405","405","","",""
"6450.932219994","","","","10251","10251","10251"
"6465.66695282","405","405","405","","",""
"6465.932211206","","","","10251","10251","10251"
"6480.666721496","405","405","405","","",""
"6480.931851922","","","","10251","10251","10251"
"6495.66644768","405","405","405","","",""
"6495.931844043","","","","10251","10251","10251"
"6510.666275131","405","405","405","","",""
"6510.932536816","","","","10251","10251","10251"
"6525.66741765","405","405","405","","",""
"6525.932340875","","","","10251","10251","10251"
"6540.666773814","405","405","405","","",""
"6540.931805001","","","","10251","10251","10251"
"6555.66552569","405","405","405","","",""
"6555.931183962","","","","10251","10251","10251"
"6570.665877167","405","405","405","","",""
"6570.93236441","","","","10251","10251","10251"
"6585.665522184","405","405","405","","",""
"6585.931648796","","","","10251","10251","10251"
"6600.665171227","405","405","405","","",""
"6600.931932523","","","","10251","10251","10251"
"6615.666290676","405","405","405","","",""
"6615.932376971","","","","10251","10251","10251"
"6630.665728316","405","405","405","","",""
"6630.93142381","","","","10251","10251","10251"
"6645.66630066","405","405","405","","",""
"6645.931762939","","","","10251","10251","10251"
"6660.666193953","405","405","405","","",""
"6660.931737518","","","","10251","10251","10251"
"6675.666614008","405","405","405","","",""
"6675.931933998","","","","10251","10251","10251"
"6690.667416295","405","405","405","","",""
"6690.931169516","","","","10251","10251","10251"
"6705.666542569","405","405","405","","",""
"6705.931971429","","","","10251","10251","10251"
"6720.665575061","405","405","405","","",""
"6720.932921615","","","","10251","10251","10251"
"6735.666175291","405","405","405","","",""
"6735.931623066","","","","10251","10251","10251"
"6750.66687336","405","405","405","","",""
"6750.932399456","","","","10251","10251","10251"
"6765.666478763","405","405","405","","",""
"6765.932244867","","","","10251","10251","10251"
"6780.666016302","405","405","405","","",""
"6780.932086768","","","","10251","10251","10251"
"6795.665446049","405","405","405","","",""
"6795.931669676","","","","10251","10251","10251"
"6810.93224745","","","","10251","10251","10251"
"6825.931353333","","","","10251","10251","10251"
"6840.931552028","","","","10251","10251","10251"
"6855.932309978","","","","10251","10251","10251"
"6870.931719397","","","","10251","10251","10251"
"6885.931617794","","","","10251","10251","10251"
"6900.931987978","","","","10251","10251","10251"
"6915.932696031","","","","10251","10251","10251"
"6930.931140168","","","","10251","10251","10251"
"6945.932420906","","","","10251","10251","10251"
"6960.932116389","","","","10251","10251","10251"
"6975.931995334","","","","10251","10251","10251"
"6990.932204108","","","","10251","10251","10251"
"7005.930788411","","","","10251","10251","10251"
"7020.93194678","","","","10251","10251","10251"
"7035.931465028","","","","10251","10251","10251"
"7050.933238908","","","","10251","10251","10251"
"7065.931944647","","","","10251","10251","10251"
"7080.932320516","","","","10251","10251","10251"
"7095.931222582","","","","10251","10251","10251"
"7110.931543886","","","","10251","10251","10251"
"7125.931716958","","","","10251","10251","10251"
"7140.931841792","","","","10251","10251","10251"
"7155.93122839","","","","10251","10251","10251"
"7170.932849976","","","","10251","10251","10251"
"7185.931114773","","","","10251","10251","10251"
"7200.931788105","","","","10251","10251","10251"
"7215.932019208","","","","10251","10251","10251"
"7230.931993404","","","","10251","10251","10251"
"7245.931413644","","","","10251","10251","10251"
"7260.932352581","","","","10251","10251","10251"
"7275.932781644","","","","10251","10251","10251"
"7290.932878197","","","","405","405","405"
